sysname Tnuc
LJ_fcc111_a1e1 200.0
LJ_fcc111_a1e2 207.88
LJ_fcc111_a1e3 213.64
LJ_fcc111_a1e4 227.64
LJ_fcc111_a1e5 233.32
LJ_fcc111_a1e6 224.98
LJ_fcc111_a1e7 233.36
LJ_fcc111_a1e8 253.4
LJ_fcc111_a1e9 263.6
LJ_fcc111_a1e10 262.44
LJ_fcc111_a2e1 202.34
LJ_fcc111_a2e2 216.2
LJ_fcc111_a2e3 250.34
LJ_fcc111_a2e4 266.7
LJ_fcc111_a2e5 267.2
LJ_fcc111_a2e6 266.96
LJ_fcc111_a2e7 267.0
LJ_fcc111_a2e8 262.58
LJ_fcc111_a2e9 264.38
LJ_fcc111_a2e10 258.0
LJ_fcc111_a3e1 207.78
LJ_fcc111_a3e2 223.06
LJ_fcc111_a3e3 247.72
LJ_fcc111_a3e4 248.88
LJ_fcc111_a3e5 248.0
LJ_fcc111_a3e6 250.2
LJ_fcc111_a3e7 249.16
LJ_fcc111_a3e8 248.58
LJ_fcc111_a3e9 249.9
LJ_fcc111_a3e10 244.94
LJ_fcc111_a4e1 203.58
LJ_fcc111_a4e2 222.76
LJ_fcc111_a4e3 229.28
LJ_fcc111_a4e4 229.94
LJ_fcc111_a4e5 231.06
LJ_fcc111_a4e6 231.36
LJ_fcc111_a4e7 230.84
LJ_fcc111_a4e8 235.16
LJ_fcc111_a4e9 223.44
LJ_fcc111_a4e10 206.9
LJ_fcc111_a5e1 200.0
LJ_fcc111_a5e2 214.34
LJ_fcc111_a5e3 219.2
LJ_fcc111_a5e4 228.1
LJ_fcc111_a5e5 228.22
LJ_fcc111_a5e6 242.44
LJ_fcc111_a5e7 213.2
LJ_fcc111_a5e8 201.86
LJ_fcc111_a5e9 200.44
LJ_fcc111_a5e10 200.0
LJ_fcc111_a6e1 200.56
LJ_fcc111_a6e2 207.16
LJ_fcc111_a6e3 229.1
LJ_fcc111_a6e4 239.12
LJ_fcc111_a6e5 238.54
LJ_fcc111_a6e6 223.14
LJ_fcc111_a6e7 200.0
LJ_fcc111_a6e8 204.72
LJ_fcc111_a6e9 203.32
LJ_fcc111_a6e10 201.98
LJ_fcc111_a7e1 200.8
LJ_fcc111_a7e2 202.0
LJ_fcc111_a7e3 229.18
LJ_fcc111_a7e4 233.26
LJ_fcc111_a7e5 229.56
LJ_fcc111_a7e6 210.28
LJ_fcc111_a7e7 200.88
LJ_fcc111_a7e8 202.3
LJ_fcc111_a7e9 202.66
LJ_fcc111_a7e10 200.84
LJ_fcc111_a8e1 200.78
LJ_fcc111_a8e2 203.24
LJ_fcc111_a8e3 220.94
LJ_fcc111_a8e4 222.94
LJ_fcc111_a8e5 219.58
LJ_fcc111_a8e6 202.88
LJ_fcc111_a8e7 202.96
LJ_fcc111_a8e8 200.72
LJ_fcc111_a8e9 202.16
LJ_fcc111_a8e10 201.74
LJ_fcc111_a9e1 200.0
LJ_fcc111_a9e2 201.84
LJ_fcc111_a9e3 216.36
LJ_fcc111_a9e4 218.86
LJ_fcc111_a9e5 212.74
LJ_fcc111_a9e6 200.9
LJ_fcc111_a9e7 200.6
LJ_fcc111_a9e8 202.72
LJ_fcc111_a9e9 200.0
LJ_fcc111_a9e10 201.98
LJ_fcc111_a10e1 200.88
LJ_fcc111_a10e2 203.34
LJ_fcc111_a10e3 212.28
LJ_fcc111_a10e4 216.06
LJ_fcc111_a10e5 212.08
LJ_fcc111_a10e6 203.8
LJ_fcc111_a10e7 201.16
LJ_fcc111_a10e8 201.74
LJ_fcc111_a10e9 202.26
LJ_fcc111_a10e10 204.9
LJ_fcc100_a1e1 200.0
LJ_fcc100_a1e2 200.96
LJ_fcc100_a1e3 224.16
LJ_fcc100_a1e4 224.32
LJ_fcc100_a1e5 225.66
LJ_fcc100_a1e6 201.0
LJ_fcc100_a1e7 201.22
LJ_fcc100_a1e8 201.66
LJ_fcc100_a1e9 200.0
LJ_fcc100_a1e10 200.0
LJ_fcc100_a2e1 200.0
LJ_fcc100_a2e2 200.76
LJ_fcc100_a2e3 218.42
LJ_fcc100_a2e4 220.84
LJ_fcc100_a2e5 206.54
LJ_fcc100_a2e6 200.54
LJ_fcc100_a2e7 200.0
LJ_fcc100_a2e8 203.24
LJ_fcc100_a2e9 201.4
LJ_fcc100_a2e10 204.7
LJ_fcc100_a3e1 200.0
LJ_fcc100_a3e2 200.0
LJ_fcc100_a3e3 201.78
LJ_fcc100_a3e4 201.36
LJ_fcc100_a3e5 200.0
LJ_fcc100_a3e6 201.28
LJ_fcc100_a3e7 204.22
